User_ID,Segment,Trend_Affinity,Geography
U_B01_00150,Gen-Z Trendseeker,High-Protein,Tier 1
U_B01_00151,Budget Parent,Luxury,Tier 3
U_B01_00152,Premium Gourmet,Luxury,Tier 2
U_B01_00153,Budget Parent,High-Protein,Tier 1
U_B01_00154,Budget Parent,Vegan,Tier 3
U_B01_00155,Gen-Z Trendseeker,Sustainable Packaging,Tier 2
U_B01_00156,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00157,Gen-Z Trendseeker,Vegan,Tier 2
U_B01_00158,Fitness Enthusiast,High-Protein,Tier 1
U_B01_00159,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00160,Fitness Enthusiast,Vegan,Tier 1
U_B01_00161,Budget Parent,Vegan,Tier 3
U_B01_00162,Budget Parent,Value-Pack,Tier 3
U_B01_00163,Fitness Enthusiast,Luxury,Tier 2
U_B01_00164,Fitness Enthusiast,Sustainable Packaging,Tier 2
U_B01_00165,Gen-Z Trendseeker,Luxury,Tier 2
U_B01_00166,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00167,Gen-Z Trendseeker,Sustainable Packaging,Tier 2
U_B01_00168,Budget Parent,Sustainable Packaging,Tier 1
U_B01_00169,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00170,Gen-Z Trendseeker,Value-Pack,Tier 3
U_B01_00171,Fitness Enthusiast,Vegan,Tier 3
U_B01_00172,Gen-Z Trendseeker,Vegan,Tier 1
U_B01_00173,Fitness Enthusiast,Luxury,Tier 1
U_B01_00174,Gen-Z Trendseeker,Sustainable Packaging,Tier 2
U_B01_00175,Premium Gourmet,Value-Pack,Tier 2
U_B01_00176,Budget Parent,Vegan,Tier 2
U_B01_00177,Premium Gourmet,Vegan,Tier 2
U_B01_00178,Gen-Z Trendseeker,Sustainable Packaging,Tier 2
U_B01_00179,Fitness Enthusiast,Luxury,Tier 1
U_B01_00180,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00181,Premium Gourmet,Luxury,Tier 2
U_B01_00182,Gen-Z Trendseeker,Vegan,Tier 1
U_B01_00183,Premium Gourmet,Luxury,Tier 1
U_B01_00184,Gen-Z Trendseeker,Vegan,Tier 1
U_B01_00185,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00186,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00187,Premium Gourmet,High-Protein,Tier 1
U_B01_00188,Budget Parent,Luxury,Tier 1
U_B01_00189,Gen-Z Trendseeker,Vegan,Tier 1
U_B01_00190,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00191,Premium Gourmet,Value-Pack,Tier 2
U_B01_00192,Premium Gourmet,Sustainable Packaging,Tier 3
U_B01_00193,Premium Gourmet,High-Protein,Tier 1
U_B01_00194,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00195,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00196,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00197,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00198,Budget Parent,Luxury,Tier 1
U_B01_00199,Budget Parent,Vegan,Tier 3
U_B01_00200,Premium Gourmet,Vegan,Tier 2
U_B01_00201,Gen-Z Trendseeker,Vegan,Tier 1
U_B01_00202,Fitness Enthusiast,Luxury,Tier 1
U_B01_00203,Gen-Z Trendseeker,Sustainable Packaging,Tier 1
U_B01_00204,Premium Gourmet,Sustainable Packaging,Tier 1
U_B01_00205,Budget Parent,Luxury,Tier 2
U_B01_00206,Fitness Enthusiast,Luxury,Tier 3
U_B01_00207,Gen-Z Trendseeker,Vegan,Tier 1
U_B01_00208,Fitness Enthusiast,Value-Pack,Tier 3
U_B01_00209,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00210,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00211,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00212,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00213,Fitness Enthusiast,Luxury,Tier 2
U_B01_00214,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00215,Gen-Z Trendseeker,Luxury,Tier 2
U_B01_00216,Budget Parent,Vegan,Tier 1
U_B01_00217,Gen-Z Trendseeker,Sustainable Packaging,Tier 2
U_B01_00218,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00219,Gen-Z Trendseeker,Luxury,Tier 2
U_B01_00220,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00221,Fitness Enthusiast,Value-Pack,Tier 3
U_B01_00222,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00223,Premium Gourmet,Luxury,Tier 3
U_B01_00224,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00225,Premium Gourmet,Value-Pack,Tier 1
U_B01_00226,Fitness Enthusiast,High-Protein,Tier 1
U_B01_00227,Budget Parent,Sustainable Packaging,Tier 1
U_B01_00228,Budget Parent,Sustainable Packaging,Tier 2
U_B01_00229,Fitness Enthusiast,Value-Pack,Tier 3
U_B01_00230,Budget Parent,High-Protein,Tier 3
U_B01_00231,Fitness Enthusiast,Vegan,Tier 2
U_B01_00232,Fitness Enthusiast,Luxury,Tier 2
U_B01_00233,Budget Parent,Vegan,Tier 3
U_B01_00234,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00235,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00236,Budget Parent,Luxury,Tier 2
U_B01_00237,Premium Gourmet,High-Protein,Tier 1
U_B01_00238,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00239,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00240,Budget Parent,Sustainable Packaging,Tier 3
U_B01_00241,Premium Gourmet,Vegan,Tier 1
U_B01_00242,Budget Parent,Vegan,Tier 2
U_B01_00243,Gen-Z Trendseeker,Value-Pack,Tier 3
U_B01_00244,Fitness Enthusiast,Vegan,Tier 3
U_B01_00245,Gen-Z Trendseeker,Vegan,Tier 2
U_B01_00246,Premium Gourmet,Vegan,Tier 3
U_B01_00247,Budget Parent,Value-Pack,Tier 3
U_B01_00248,Budget Parent,Vegan,Tier 3
U_B01_00249,Premium Gourmet,Sustainable Packaging,Tier 1
U_B01_00250,Budget Parent,Vegan,Tier 2
U_B01_00251,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00252,Gen-Z Trendseeker,High-Protein,Tier 3
U_B01_00253,Gen-Z Trendseeker,High-Protein,Tier 1
U_B01_00254,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00255,Budget Parent,High-Protein,Tier 2
U_B01_00256,Premium Gourmet,High-Protein,Tier 2
U_B01_00257,Budget Parent,High-Protein,Tier 1
U_B01_00258,Budget Parent,High-Protein,Tier 3
U_B01_00259,Premium Gourmet,Luxury,Tier 3
U_B01_00260,Premium Gourmet,Value-Pack,Tier 3
U_B01_00261,Budget Parent,Sustainable Packaging,Tier 3
U_B01_00262,Premium Gourmet,High-Protein,Tier 2
U_B01_00263,Premium Gourmet,Vegan,Tier 3
U_B01_00264,Premium Gourmet,Sustainable Packaging,Tier 1
U_B01_00265,Fitness Enthusiast,Value-Pack,Tier 2
U_B01_00266,Budget Parent,High-Protein,Tier 2
U_B01_00267,Premium Gourmet,Luxury,Tier 1
U_B01_00268,Fitness Enthusiast,Luxury,Tier 2
U_B01_00269,Gen-Z Trendseeker,Sustainable Packaging,Tier 1
U_B01_00270,Fitness Enthusiast,High-Protein,Tier 1
U_B01_00271,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00272,Premium Gourmet,Luxury,Tier 1
U_B01_00273,Premium Gourmet,Luxury,Tier 1
U_B01_00274,Gen-Z Trendseeker,Sustainable Packaging,Tier 3
U_B01_00275,Premium Gourmet,High-Protein,Tier 2
U_B01_00276,Premium Gourmet,Vegan,Tier 3
U_B01_00277,Budget Parent,High-Protein,Tier 2
U_B01_00278,Premium Gourmet,Vegan,Tier 3
U_B01_00279,Premium Gourmet,Value-Pack,Tier 1
U_B01_00280,Budget Parent,High-Protein,Tier 3
U_B01_00281,Premium Gourmet,Vegan,Tier 2
U_B01_00282,Premium Gourmet,High-Protein,Tier 2
U_B01_00283,Budget Parent,Vegan,Tier 1
U_B01_00284,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00285,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00286,Budget Parent,Value-Pack,Tier 2
U_B01_00287,Premium Gourmet,High-Protein,Tier 1
U_B01_00288,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00289,Premium Gourmet,Value-Pack,Tier 3
U_B01_00290,Gen-Z Trendseeker,High-Protein,Tier 1
U_B01_00291,Budget Parent,High-Protein,Tier 3
U_B01_00292,Gen-Z Trendseeker,Value-Pack,Tier 3
U_B01_00293,Gen-Z Trendseeker,High-Protein,Tier 2
U_B01_00294,Gen-Z Trendseeker,High-Protein,Tier 2
U_B01_00295,Budget Parent,Value-Pack,Tier 1
U_B01_00296,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00297,Budget Parent,High-Protein,Tier 1
U_B01_00298,Premium Gourmet,Vegan,Tier 3
U_B01_00299,Gen-Z Trendseeker,High-Protein,Tier 2
U_B01_00300,Gen-Z Trendseeker,Luxury,Tier 2
U_B01_00301,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00302,Budget Parent,High-Protein,Tier 1
U_B01_00303,Premium Gourmet,High-Protein,Tier 3
U_B01_00304,Fitness Enthusiast,High-Protein,Tier 1
U_B01_00305,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00306,Budget Parent,Value-Pack,Tier 3
U_B01_00307,Budget Parent,Sustainable Packaging,Tier 1
U_B01_00308,Fitness Enthusiast,Vegan,Tier 2
U_B01_00309,Fitness Enthusiast,Vegan,Tier 2
U_B01_00310,Fitness Enthusiast,Value-Pack,Tier 2
U_B01_00311,Budget Parent,Value-Pack,Tier 3
U_B01_00312,Budget Parent,Luxury,Tier 2
U_B01_00313,Budget Parent,Luxury,Tier 2
U_B01_00314,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00315,Fitness Enthusiast,Luxury,Tier 1
U_B01_00316,Budget Parent,Vegan,Tier 1
U_B01_00317,Budget Parent,Sustainable Packaging,Tier 3
U_B01_00318,Premium Gourmet,High-Protein,Tier 3
U_B01_00319,Gen-Z Trendseeker,Value-Pack,Tier 3
U_B01_00320,Premium Gourmet,Vegan,Tier 3
U_B01_00321,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00322,Budget Parent,Sustainable Packaging,Tier 3
U_B01_00323,Premium Gourmet,Sustainable Packaging,Tier 1
U_B01_00324,Premium Gourmet,Sustainable Packaging,Tier 1
U_B01_00325,Premium Gourmet,Value-Pack,Tier 2
U_B01_00326,Budget Parent,Sustainable Packaging,Tier 2
U_B01_00327,Budget Parent,High-Protein,Tier 2
U_B01_00328,Budget Parent,High-Protein,Tier 1
U_B01_00329,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00330,Gen-Z Trendseeker,Vegan,Tier 2
U_B01_00331,Fitness Enthusiast,Vegan,Tier 1
U_B01_00332,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00333,Budget Parent,Sustainable Packaging,Tier 2
U_B01_00334,Premium Gourmet,Luxury,Tier 1
U_B01_00335,Gen-Z Trendseeker,High-Protein,Tier 3
U_B01_00336,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00337,Gen-Z Trendseeker,Luxury,Tier 2
U_B01_00338,Fitness Enthusiast,Luxury,Tier 1
U_B01_00339,Gen-Z Trendseeker,Luxury,Tier 2
U_B01_00340,Premium Gourmet,Sustainable Packaging,Tier 3
U_B01_00341,Premium Gourmet,Sustainable Packaging,Tier 3
U_B01_00342,Fitness Enthusiast,Luxury,Tier 3
U_B01_00343,Gen-Z Trendseeker,High-Protein,Tier 3
U_B01_00344,Premium Gourmet,Sustainable Packaging,Tier 1
U_B01_00345,Premium Gourmet,Value-Pack,Tier 3
U_B01_00346,Gen-Z Trendseeker,High-Protein,Tier 2
U_B01_00347,Budget Parent,High-Protein,Tier 2
U_B01_00348,Gen-Z Trendseeker,High-Protein,Tier 3
U_B01_00349,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00350,Fitness Enthusiast,Luxury,Tier 3
U_B01_00351,Premium Gourmet,Vegan,Tier 3
U_B01_00352,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00353,Premium Gourmet,High-Protein,Tier 2
U_B01_00354,Fitness Enthusiast,High-Protein,Tier 1
U_B01_00355,Budget Parent,High-Protein,Tier 1
U_B01_00356,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00357,Fitness Enthusiast,Luxury,Tier 3
U_B01_00358,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00359,Gen-Z Trendseeker,High-Protein,Tier 3
U_B01_00360,Premium Gourmet,Value-Pack,Tier 1
U_B01_00361,Fitness Enthusiast,Luxury,Tier 2
U_B01_00362,Premium Gourmet,High-Protein,Tier 1
U_B01_00363,Fitness Enthusiast,Luxury,Tier 3
U_B01_00364,Premium Gourmet,Value-Pack,Tier 3
U_B01_00365,Budget Parent,High-Protein,Tier 3
U_B01_00366,Budget Parent,Sustainable Packaging,Tier 2
U_B01_00367,Budget Parent,Vegan,Tier 3
U_B01_00368,Fitness Enthusiast,Vegan,Tier 1
U_B01_00369,Fitness Enthusiast,Luxury,Tier 3
U_B01_00370,Gen-Z Trendseeker,Sustainable Packaging,Tier 3
U_B01_00371,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00372,Budget Parent,Vegan,Tier 3
U_B01_00373,Gen-Z Trendseeker,Value-Pack,Tier 3
U_B01_00374,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00375,Budget Parent,Luxury,Tier 3
U_B01_00376,Premium Gourmet,Vegan,Tier 1
U_B01_00377,Fitness Enthusiast,Vegan,Tier 3
U_B01_00378,Budget Parent,High-Protein,Tier 3
U_B01_00379,Gen-Z Trendseeker,Vegan,Tier 1
U_B01_00380,Budget Parent,Luxury,Tier 2
U_B01_00381,Premium Gourmet,Sustainable Packaging,Tier 3
U_B01_00382,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00383,Premium Gourmet,Value-Pack,Tier 1
U_B01_00384,Gen-Z Trendseeker,Sustainable Packaging,Tier 3
U_B01_00385,Gen-Z Trendseeker,Vegan,Tier 1
U_B01_00386,Fitness Enthusiast,Vegan,Tier 1
U_B01_00387,Gen-Z Trendseeker,High-Protein,Tier 1
U_B01_00388,Fitness Enthusiast,Vegan,Tier 1
U_B01_00389,Gen-Z Trendseeker,High-Protein,Tier 3
U_B01_00390,Premium Gourmet,Vegan,Tier 3
U_B01_00391,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00392,Fitness Enthusiast,Value-Pack,Tier 1
U_B01_00393,Fitness Enthusiast,Luxury,Tier 2
U_B01_00394,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00395,Premium Gourmet,Vegan,Tier 3
U_B01_00396,Premium Gourmet,Vegan,Tier 2
U_B01_00397,Budget Parent,High-Protein,Tier 3
U_B01_00398,Premium Gourmet,Value-Pack,Tier 2
U_B01_00399,Budget Parent,High-Protein,Tier 2
U_B01_00400,Fitness Enthusiast,Sustainable Packaging,Tier 3
U_B01_00401,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00402,Fitness Enthusiast,Luxury,Tier 1
U_B01_00403,Premium Gourmet,Sustainable Packaging,Tier 2
U_B01_00404,Budget Parent,Sustainable Packaging,Tier 1
U_B01_00405,Fitness Enthusiast,Luxury,Tier 3
U_B01_00406,Premium Gourmet,Value-Pack,Tier 2
U_B01_00407,Fitness Enthusiast,Luxury,Tier 3
U_B01_00408,Gen-Z Trendseeker,Sustainable Packaging,Tier 3
U_B01_00409,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00410,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00411,Premium Gourmet,Sustainable Packaging,Tier 3
U_B01_00412,Premium Gourmet,Luxury,Tier 2
U_B01_00413,Fitness Enthusiast,Vegan,Tier 1
U_B01_00414,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00415,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00416,Premium Gourmet,Luxury,Tier 1
U_B01_00417,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00418,Fitness Enthusiast,Luxury,Tier 1
U_B01_00419,Fitness Enthusiast,High-Protein,Tier 1
U_B01_00420,Fitness Enthusiast,High-Protein,Tier 1
U_B01_00421,Fitness Enthusiast,Sustainable Packaging,Tier 2
U_B01_00422,Gen-Z Trendseeker,Sustainable Packaging,Tier 1
U_B01_00423,Budget Parent,Luxury,Tier 1
U_B01_00424,Budget Parent,Luxury,Tier 2
U_B01_00425,Fitness Enthusiast,Sustainable Packaging,Tier 2
U_B01_00426,Premium Gourmet,Sustainable Packaging,Tier 2
U_B01_00427,Premium Gourmet,Value-Pack,Tier 2
U_B01_00428,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00429,Budget Parent,Vegan,Tier 3
U_B01_00430,Budget Parent,Vegan,Tier 3
U_B01_00431,Gen-Z Trendseeker,Sustainable Packaging,Tier 3
U_B01_00432,Budget Parent,Vegan,Tier 3
U_B01_00433,Premium Gourmet,Value-Pack,Tier 3
U_B01_00434,Gen-Z Trendseeker,Sustainable Packaging,Tier 2
U_B01_00435,Budget Parent,Luxury,Tier 3
U_B01_00436,Budget Parent,Vegan,Tier 1
U_B01_00437,Gen-Z Trendseeker,Sustainable Packaging,Tier 1
U_B01_00438,Gen-Z Trendseeker,Vegan,Tier 2
U_B01_00439,Gen-Z Trendseeker,High-Protein,Tier 3
U_B01_00440,Fitness Enthusiast,Sustainable Packaging,Tier 3
U_B01_00441,Premium Gourmet,Vegan,Tier 2
U_B01_00442,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00443,Budget Parent,Sustainable Packaging,Tier 3
U_B01_00444,Premium Gourmet,Vegan,Tier 3
U_B01_00445,Fitness Enthusiast,Vegan,Tier 3
U_B01_00446,Premium Gourmet,Vegan,Tier 3
U_B01_00447,Budget Parent,Vegan,Tier 2
U_B01_00448,Premium Gourmet,Luxury,Tier 1
U_B01_00449,Budget Parent,High-Protein,Tier 3
U_B01_00450,Gen-Z Trendseeker,Sustainable Packaging,Tier 2
U_B01_00451,Budget Parent,High-Protein,Tier 1
U_B01_00452,Gen-Z Trendseeker,Luxury,Tier 2
U_B01_00453,Premium Gourmet,Vegan,Tier 3
U_B01_00454,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00455,Fitness Enthusiast,Sustainable Packaging,Tier 3
